,X_draw_graph_fa-0,X_draw_graph_fa-1
cell_2467,-11000.39319534384,-530.3137383140913
cell_274,-11877.650534178993,5968.119469879367
cell_2580,-7454.748787603472,-1073.0055494555836
cell_144,-11232.610490838595,6033.145823499721
cell_1521,-5342.221359086336,-569.5015024465516
cell_2159,-10059.231929246624,-1200.9322779852923
cell_2150,-10759.267183216192,-1413.21615115375
cell_2025,-11294.197813996043,-1217.3078821298682
cell_1681,-7765.3639915692975,-871.2617849707198
cell_1620,-2313.9231899627653,-593.5474910798703
cell_2242,-9286.828630955066,1918.4378897358554
cell_2187,-8441.275980147322,-1711.3872769114284
cell_1868,-10373.908638773119,523.4403419361324
cell_2221,-5382.355730457833,-1705.1506472757658
cell_344,-9410.554241491549,2652.983673318516
cell_312,-11835.321655963737,5933.693341820347
cell_2378,-8655.689301459794,-1011.9652365714794
cell_2082,-10563.53660720416,877.4584345458246
cell_206,-11689.316246424018,5952.589781954912
cell_1907,-10371.555560817462,-1375.222185194231
cell_321,-8093.157933539125,4336.46819151734
cell_2210,-8003.726196060024,-829.9703424787574
cell_2347,-8141.006947231171,-1702.6803399683013
cell_2536,-10928.094813214799,-870.7942208802291
cell_1887,-9891.370005188837,-1035.8077497565478
cell_2379,-7295.923527998116,-1858.279150346879
cell_2602,-7729.5157458543335,-1215.3263594772052
cell_1930,-11033.011425918348,-1137.527643219547
cell_149,-3456.882576012427,2251.966584841359
cell_192,-10128.278819526795,5629.571878950193
cell_1553,-9284.809564039102,-2646.167751221492
cell_2261,-11220.00870210349,-948.5664814293712
cell_246,-10827.677994000047,3726.5627155740594
cell_1573,-10924.252223750702,648.9551662810121
cell_1512,-3810.1647618535376,-1731.813116151612
cell_1667,-8632.403976466698,-2009.236421038352
cell_299,-1415.7877193652378,1185.25471577282
cell_2103,-9627.324604784595,-287.4010810817028
cell_1943,-12537.61217624696,-305.293225526769
cell_1531,-10804.51270527799,-2828.6875028796567
cell_2287,-9858.560254932001,936.9914749653088
cell_1946,-10557.028233305478,-116.79355717027478
cell_2551,-4820.39096827195,-1129.5552249638652
cell_21,-9192.23004055116,5886.4187361163
cell_1505,-8747.08564757603,-132.90762139271035
cell_154,-11791.741506793953,5726.06557032778
cell_1534,-9206.071488741365,-1377.6479179375563
cell_1601,-10198.15784781844,-1031.749834059235
cell_1580,-9687.20207911983,571.1748014466815
cell_2350,-6419.755155912287,-671.9453692516854
cell_2365,-8533.60497350369,-1982.318770113013
cell_1826,-11342.2853703547,492.12380424312204
cell_317,-8982.581759480263,5975.047035704738
cell_2423,-9030.343269372761,-497.9708515717161
cell_2369,-10112.461104689624,-1367.9576966150246
cell_1940,-10838.76300640251,-1285.6230333900073
cell_210,-9216.426055315389,6199.155947120664
cell_197,-11185.636695073674,5810.344251952191
cell_37,-10742.45849028942,4991.817401980951
cell_1530,-8869.66014027936,-164.9009624628516
cell_1562,-9103.647067197948,-923.6477442420543
cell_2066,-10758.359046409807,-1728.5486219238771
cell_1969,-10799.242172790273,-791.8682409817394
cell_2124,-2082.134662740504,-1349.5064497505243
cell_2228,-8184.958544104262,-1412.9182761889754
cell_1841,-9810.746442237754,-585.1698425709781
cell_2075,-11004.86870329179,-1435.0945108003775
cell_1824,-7543.621729938484,-565.573365934796
cell_2607,-10819.816104133568,-866.0421211869519
cell_2030,-9748.753924229573,-1149.6885821980325
cell_1812,-10586.27523617633,-1316.2622546041123
cell_2272,-11009.205343543834,-1320.2200162303002
cell_87,-9224.343017984243,5545.967853610884
cell_338,-11473.540056849088,4280.610120059693
cell_2200,-10942.319906586865,-1342.374894169525
cell_2225,-9574.965665231366,-2773.7902443684134
cell_345,-11704.504434118346,5766.7180659788655
cell_2562,-9944.47103581891,-977.3947471286808
cell_1854,-8521.593735387538,-1446.3204369903963
cell_1904,-10210.139437022046,-873.2287205148538
cell_2492,-9031.632726279979,-660.0568110515694
cell_187,-6041.910581491121,3357.0466064453817
cell_2403,-8616.125979821534,-2379.340998573194
cell_2364,-10587.611342378874,-2446.4976053853197
cell_111,-4230.197905871203,2529.787208110963
cell_337,-9699.304628633774,2788.177619845317
cell_320,-7110.11840469547,3198.410206801398
cell_2606,-10233.607408726666,-348.1057038732761
cell_65,-10780.237319683298,4577.855617362788
cell_2323,-5939.353524582607,-20.623687005378255
cell_2233,-4810.487479463018,-1364.9714939455148
cell_1586,-11575.790697495006,1161.881325460077
cell_202,-7187.20540907307,4506.655867342915
cell_2550,-9743.003185581549,-566.2158748145526
cell_257,-8706.801538355452,5873.736687299809
cell_1688,-6914.796256430552,-1283.7416382706099
cell_1610,-4597.054610426518,-1912.3920170389401
cell_162,-9214.513367974097,5575.770799653692
cell_273,-10753.151907420406,5280.804050881034
cell_1871,-11457.385047074275,-502.743465850966
cell_2392,-11236.886512107641,-129.14690165329347
cell_1967,-11034.731615998908,-1415.0498473421108
cell_191,-11749.886502554855,5377.598335212827
cell_2545,-9488.930266727897,-660.7839447555527
cell_18,-11506.887858870117,5296.124419973561
cell_2646,-6858.7916807973415,-817.6031364734856
cell_186,-9279.735683001145,6197.3726733060275
cell_354,3458.255461021649,-952.0259187582534
cell_2561,-9920.72127636656,-1500.9704491554699
cell_2100,-11538.709986624446,1456.8169911388065
cell_1673,-9994.164343959817,-1508.5387611327944
cell_2644,-10042.679374700567,605.1920604365557
cell_70,-8152.914947000876,4037.795910361765
cell_1908,-7352.208018296625,-1449.8337758818689
cell_271,-10877.709530267688,4867.982890896882
cell_2622,-7732.084942220482,-1586.1473034204218
cell_134,-11753.308022383988,5890.30383090744
cell_281,-9358.764645011792,5993.693866560618
