Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:1990837~sequence-specific double-stranded DNA binding	11	3.481012658227848	0.05547028201062024	JUN, MAX, NFIC, LEF1, HSF1, SNAI1, CTCF, MEIS2, KLF15, SMAD5, PBX1	297	549	29110	1.9638399784119274	0.9999999999999843	0.671672762606858	0.6535846271686123
BIOCARTA	m_atrbrcaPathway:Role of BRCA1,  BRCA2 and ATR in Cancer Susceptibility	3	0.949367088607595	0.05567024347246013	RAD50, FANCD2, RAD9A	26	20	1286	7.4192307692307695	0.993530311274896	1.0	1.0
KEGG_PATHWAY	mmu05226:Gastric cancer	6	1.89873417721519	0.05633492680363858	FZD1, NRAS, FGF15, CDH1, FZD7, LEF1	136	150	9789	2.879117647058824	0.9999994936272524	0.8802332313068528	0.8802332313068528
GOTERM_MF_DIRECT	GO:0003678~DNA helicase activity	3	0.949367088607595	0.05700551750602927	RAD50, SUB1, MCM9	297	38	29110	7.737905369484317	0.9999999999999937	0.6755760266140065	0.6573827763461247
GOTERM_BP_DIRECT	GO:0031333~negative regulation of protein-containing complex assembly	3	0.949367088607595	0.057087030113475504	HSF1, TFIP11, SVIP	304	38	29775	7.7324272853185585	1.0	1.0	0.9982598607888631
GOTERM_BP_DIRECT	GO:0048514~blood vessel morphogenesis	3	0.949367088607595	0.057087030113475504	FLT1, SYK, FGFR1	304	38	29775	7.7324272853185585	1.0	1.0	0.9982598607888631
UP_SEQ_FEATURE	ZN_FING:C2H2-type 10	5	1.5822784810126582	0.05827069374682725	ZFP687, ZFP74, CTCF, RREB1, GZF1	297	109	22194	3.427856547122602	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0071466~cellular response to xenobiotic stimulus	4	1.2658227848101267	0.05927570804224815	RAP1B, UCHL1, HSF1, BMYC	304	87	29775	4.503176043557168	1.0	1.0	0.9982598607888631
GOTERM_MF_DIRECT	GO:0030621~U4 snRNA binding	2	0.6329113924050633	0.05948488563282178	GEMIN5, SNU13	297	6	29110	32.67115600448933	0.9999999999999986	0.6902725270308694	0.6716835002706126
GOTERM_BP_DIRECT	GO:0032435~negative regulation of proteasomal ubiquitin-dependent protein catabolic process	3	0.949367088607595	0.059779583512020465	PHF20L1, WAC, CCAR2	304	39	29775	7.5341599190283395	1.0	1.0	0.9982598607888631
UP_KW_MOLECULAR_FUNCTION	KW-0010~Activator	16	5.063291139240507	0.060121194661140506	JUN, ZFP638, MAX, LEF1, CIRBP, CTCF, MED4, MEIS2, KLF15, PBX1, CCAR2, NFIC, SUB1, NRIP1, HSF1, RREB1	174	684	12247	1.646434092895073	0.9708192934795828	0.557156279107114	0.5473816075438313
GOTERM_CC_DIRECT	GO:0048471~perinuclear region of cytoplasm	15	4.746835443037975	0.06039210335774894	PLVAP, MEIS2, CDC20, RAD50, TPPP3, TRAF4, CDH1, STBD1, HSF1, SPP1, TRIM37, HMGCLL1, FGFR1, RAB8B, EXOC1	306	861	29926	1.7037872059392862	0.999999999994767	0.5663216127440774	0.5554569295259657
GOTERM_CC_DIRECT	GO:0030054~cell junction	6	1.89873417721519	0.060417144854142464	TES, CDH1, KDF1, PYM1, NHS, SCRIB	306	206	29926	2.8484675423567487	0.9999999999948248	0.5663216127440774	0.5554569295259657
