Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0016477~cell migration	26	2.832244008714597	9.75071202972792E-6	FLT1, ONECUT2, SDC4, ITGB4, PIK3CD, RND1, PPP1R9B, SYDE1, FUT8, CDH1, MDK, PDPN, EMILIN1, HES1, PAK3, RHBDF1, PRKCI, PTK6, RHOD, FMNL3, TGFBR3, CD24A, MMP14, FSCN1, BCL2, CD44	887	315	29775	2.7707091855908086	0.03622447965986819	0.007379338864098089	0.007311083879889994
GOTERM_MF_DIRECT	GO:0000981~DNA-binding transcription factor activity, RNA polymerase II-specific	61	6.64488017429194	9.901678851569424E-6	MESP1, ONECUT2, FOXI3, ZFP449, HOXC13, HOXA11, SOX2, SALL1, SALL2, BBX, LRRFIP1, TEAD1, TEAD2, ZFP579, SP110, ZFP977, EBF1, ZFP936, POU3F1, POU3F2, ETV4, MYCL, ZEB2, MYCN, HAND1, IRF2, GM14418, DLX1, CASZ1, ZFP943, ZFP61, FOXO4, ASCL2, HOXD10, GLIS1, GBX1, PCBP1, ZFP180, GSC, HIVEP1, HES1, OTX2, OTX1, E2F5, ZFP981, JUND, SNAI3, KLF4, TBX3, NFKB1, FOSL2, NR4A1, MEIS1, ZFAT, BHLHE40, KLF9, SP5, TCF3, MIXL1, FOXA2, ZFP28	875	1113	29110	1.8233448851238607	0.010940531924896635	0.0012223072448992922	0.001205804446813343
UP_SEQ_FEATURE	REGION:Disordered	541	58.932461873638346	1.1911566936429884E-5	MAP10, WIPF3, GPATCH4, STMN4, PSMD8, SAMD14, RNF115, TFG, LURAP1L, WDR90, GJA4, STMN1, BBX, IER2, IER3, PRKCI, FRS2, MCEMP1, CACNA2D4, PHKA2, RC3H2, TMEM82, MYL4, RNF123, RNF125, SARNP, ACOT1, SERPING1, RABL2, ACOT5, TSPYL4, ASF1A, SPIN2D, CEP85L, PRDM14, ATXN7L3B, PRDM13, MRPL15, OAZ1, FAM221A, FAM124A, RNF213, T, RNF216, EPB41L1, ZFP180, ZFP185, PPARGC1A, PLK4, EDEM3, SMCP, JUND, WDR59, H3F3B, GTF2IRD2, H3F3A, BC049715, MTHFR, LARP7, RNASE12, TPBGL, FOSL2, UCK2, FXYD3, ZFAT, PKIA, FXYD5, PKIG, PHF2, MESP1, MTMR12, MTMR11, HOXC13, CTCF, SHB, SLC6A2, MYOM3, SMG6, ING4, AIFM3, ING2, NHSL1, EMB, TEAD1, TEAD2, RRP15, EDARADD, GSTO1, TACR2, TERF1, SLC39A14, DUSP6, MRPL43, TMC3, DNAH7B, ZEB2, MMP14, SLC7A7, COL2A1, INF2, PSMA4, HEATR5A, MTF2, CDC42EP1, SMTNL2, NBAS, GRP, AP5Z1, DCAF12L1, TMEM160, HOXD10, AXDND1, ASCL2, NTF5, TCOF1, GBX1, FRZB, UBN2, CHN2, GSC, GCNT2, RPL13, AB124611, RICTOR, FLNC, CKB, RPS2, PRR23A1, BID, MBD2, BMP8A, PRSS35, CROCC2, DCBLD2, ZNFX1, MYBBP1A, TAOK3, ABI3, TRMT6, GPR149, TMEM229A, LIMS2, MIXL1, RASL11B, EXOC3L4, NAB1, ZFP449, HIKESHI, CEP128, PPP1CB, FGF5, SALL1, FGF8, SALL2, CDH1, FBRSL1, KMT5B, SLC26A10, KPNA2, HMGN2, TMSB10, HMGN1, TPD52, ZFP579, ANKRD49, 4930558K02RIK, TPM4, IGFBP4, GM14412, ZBTB32, FRMD4A, TNNI3K, FRMD4B, EDAR, BC035947, EIF4E1B, MSH4, DGKQ, ROR1, PKP3, NPTXR, IL6ST, IFNAR1, DLX1, KMT2D, LRRC56, FAM114A1, FECH, INSIG1, ZFP61, FOXO4, GLIS1, GTF2E2, SLC9A1, SOCS2, STK31, SOCS3, BTBD1, EIF4EBP1, CCDC30, 4932443L11RIK, BMF, FAM217A, FOXN3, FBXO33, NFKB1, REEP1, RCAN1, UBOX5, DAB1, TFCP2, CDK4, SPIRE2, SP5, LRCH4, PLEKHF2, GM13594, EIF4E3, PPP1R13B, PLEKHF1, BMPR2, FLT1, ONECUT2, ITGB4, SCHIP1, PIK3CD, LSP1, SGCE, THBD, DNMT3L, ADAMTS1, MDK, PHACTR3, EMILIN1, DGCR6, YAF2, SMIM14, D630023F18RIK, CCDC34, ITGA3, VPS13C, VPS13A, CTDSPL, DNAJC2, TRAF3, AB041806, HAND1, SMCR8, MTFR2, SPEM1, PPP1R12B, SMIM22, SMPX, ZBTB46, PRCD, TULP4, RPL36A, TULP2, LRP2, JAKMIP3, COCH, CCDC85B, NNAT, UBQLN1, LRRC8D, POLR2F, BEND4, WHAMM, E2F5, PCDH1, SH2B3, SMARCE1, CYB5B, TRIM41, PCDH8, KLF4, TBX3, RPGRIP1, CD24A, SNRK, MARCKS, USH1G, SYT11, RAB15, KLF9, PPP1R14D, MYO1F, KCNK4, EIF4A2, EIF4A1, TTLL10, FOXI3, PKD2L1, SOX2, RPS6KA4, SOX3, RPL18A, RPL36AL, DHX57, HABP4, TRIM27, SCAPER, TMEM88B, RSAD2, SP110, EBF1, MRPS18B, CSNK1E, PPP1R3F, CDC34, SOAT1, TTLL11, SPATA18, CTXN1, STX1A, CCNO, L3MBTL1, NECAB2, GRB7, CASZ1, SLC45A2, SDC4, PCDH18, OTOA, RACGAP1, TSPAN4, HIVEP1, STXBP5, KCNN3, RAB11FIP3, RAB11FIP4, GPM6B, CDT1, ZRSR2, H2-EB1, DTNA, DTNB, PPP1R21, BCL11A, PYCR2, PARVA, VASN, CD55B, GKAP1, NDUFAF4, CALM1, RGL1, ZFP750, ITM2B, TOP2A, NRP2, CCDC127, C2CD2, ICA1, WFDC1, PCSK6, LARP1B, PCSK4, ACADL, AKAP14, CNTRL, 4833439L19RIK, APOBEC1, CDV3, NCOA2, TSC22D1, NCOA3, PRMT3, NOG, TYK2, CBFA2T3, RHOD, IL17RA, CNKSR2, TOX3, TOX2, TNNT1, TAX1BP1, KIZ, CD44, RAMP2, PTGER3, DRP2, ZDHHC18, SLX4, OS9, PDPN, PAK3, CAR2, GABBR1, CRYBB1, FRMD8OS, PDZK1IP1, PPP1CA, TTC3, SPC24, TJP3, FOXA2, ZFP28, GALNT12, RTL1, SPPL2B, E030030I06RIK, KNDC1, NR3C1, CMIP, HOXA11, ACTG1, CCDC28A, SYDE1, CCND3, BASP1, PEBP4, TEKT1, FAM81B, TMEM38B, TGM4, CASR, ZGRF1, ANGEL2, KCTD1, ANXA11, ALG13, OCRL, TSC1, POU3F1, PDIA6, POU3F2, RSBN1, MYCL, MYCN, SPNS1, AMPH, DAP3, ABCG2, BC035044, CALCA, RASGRP2, LPP, NALCN, NDRG1, FBLN2, RTN4, ENHO, NCKIPSD, CCNB2, ARHGAP21, SYCE1, MYG1, USP51, CAMTA2, OTX2, OTX1, MARK4, LONRF1, FGF23, FGF21, CBX7, HSPA5, HSPA4, CHCHD10, KLHL22, MT2, FAM199X, DNAJC16, NR4A1, ARHGAP31, H1F0, FER, TMEM114, BHLHE40, 2410022M11RIK, GNAS, MKRN3, TCF3, ZCCHC2, LRP12, YWHAE, DOCK9, SLC2A1, HMGB3, DBI, YBX3, ELAVL2, PPP1R9B, FLCN, ABHD16A, LRRFIP2, HORMAD1, LRRFIP1, GM128, YWHAG, RHBDF1, RUBCN, ABCC1, EGFL7, ARHGEF16, ABCC6, PDE4C, IQCE, AXIN1, IRAK4, ETV4, UTF1, TGFBR3, TBC1D1, ARHGAP10, TBC1D2, IRF2, ZP1, ITGB1BP2, 4930505N22RIK, PLEC, COLEC12, POLDIP3, IER5L, SLC3A2, D030018L15RIK, RNF7, OC90, CYTH2, MLANA, SPOCK1, HES1, LRIG3, MTA3, SNCA, PDE6H, TPBG, ARID3B, 2610528J11RIK, U2SURP, CD2, FMNL3, IRGQ, MEIS1, CFAP36, RGS12, THRSP, TAF4, RBMX	818	13087	22194	1.1216037191763304	0.02459960896242519	0.024907086464074888	0.024907086464074888
GOTERM_BP_DIRECT	GO:0030154~cell differentiation	41	4.466230936819173	1.9831534928802595E-5	DLX1, LRRC34, CASZ1, FLT1, SUV39H1, FOXI3, WIPF3, PIK3CD, MOSPD1, RASAL1, ASCL2, SLC9A1, ELAVL3, FSTL3, SOX2, FGF5, SOCS3, NHSL1, BTBD1, CCDC85B, OTX2, FGF23, FGF21, EDARADD, ACVR1, ANKRD49, LARP7, PTK6, TYK2, ETV4, DUSP6, EDAR, DAB1, ID2, HAND1, ID3, SPATA18, ZFP750, FKBP6, BMPR1A, FOXA2	887	660	29775	2.0852977349595165	0.07229665838308896	0.012507088028431503	0.012391404074680156
GOTERM_MF_DIRECT	GO:0003682~chromatin binding	37	4.030501089324619	2.230457517953001E-5	TOP2A, L3MBTL1, DLX1, PRDM13, CTCF, HOXC13, NR3C1, HOXD10, SOX2, SALL1, KMT5B, HES1, CAMTA2, USP51, HMGN2, MTA3, PPARGC1A, HMGN1, CBX7, CDT1, NCOA2, NCOA3, MBD2, NPM3, CBFA2T3, NFKB1, FOSL2, DNAJC2, TOX3, MEIS1, SARNP, MTF2, TCF3, RBMX, TSPYL4, ASF1A, FOXA2	875	565	29110	2.1786498103666245	0.02447613943424576	0.002478038302445784	0.002444581439676489
GOTERM_MF_DIRECT	GO:1990837~sequence-specific double-stranded DNA binding	36	3.9215686274509802	2.8490806821412445E-5	DLX1, ONECUT2, ZFP449, FOXO4, CTCF, HOXC13, NR3C1, HOXD10, ASCL2, GLIS1, HOXA11, SOX3, GSC, HIVEP1, BBX, HES1, OTX2, OTX1, TEAD1, TEAD2, JUND, SNAI3, ZBTB32, KLF4, POU3F1, POU3F2, ETV4, TBX3, NFKB1, NR4A1, TFCP2, MYCN, BHLHE40, IRF2, MIXL1, FOXA2	875	549	29110	2.1815456674473066	0.03115800215007125	0.002877571488962657	0.00283872038875164
GOTERM_BP_DIRECT	GO:0065003~protein-containing complex assembly	15	1.6339869281045754	3.455700317604812E-5	GPAA1, MBD2, AXIN1, SLC2A1, CHCHD10, VAMP8, TGFBR3, EXT1, TSPAN4, HES1, OTX2, BID, TEAD1, TEAD2, ABCG2	887	130	29775	3.873254704709045	0.1225768970702017	0.018680528574023723	0.018507743558143483
GOTERM_MF_DIRECT	GO:0042803~protein homodimerization activity	48	5.228758169934641	4.288470059552697E-5	TOP2A, FLT1, FECH, SPPL2B, SHMT1, SCHIP1, ENO1B, SLC3A2, SPPL3, RTN4, MYOM3, FBXO4, HES1, LRRFIP1, SLIT2, APOE, RAB11FIP3, RAB11FIP4, PDK2, ACVR1, TPD52, CASR, GSTM1, FCER1G, TPM4, BCL11A, NOG, APOA2, AXIN1, TAP1, TRNT1, TERF1, EXT1, GGCT, BST2, TOX3, COL2A1, PRPH2, HAND1, GSTA1, BHLHE40, BCL2, CRYL1, THRSP, TCF3, MIXL1, BMPR1A, ABCG2	875	844	29110	1.8920514556533512	0.046528671378650466	0.003970408530135872	0.003916802654391463
GOTERM_CC_DIRECT	GO:0015629~actin cytoskeleton	22	2.3965141612200433	4.794202857466457E-5	FLT1, ONECUT2, TPM4, SPPL2B, DSTN, PKD2L1, PARVA, NPM3, PPP1R9B, ACTG1, RND1, ARHGAP21, SAMD14, H1F0, FER, USH1G, CDH1, FSCN1, BMF, FLNC, MYO1F, SNCA	895	263	29926	2.797000658495656	0.030450113483003416	0.003865326053832331	0.0037334854752520035
GOTERM_CC_DIRECT	GO:0000785~chromatin	34	3.7037037037037033	5.6886229277778855E-5	L3MBTL1, CASZ1, ZBTB46, NR3C1, ACTG1, SOX2, SLX4, BASP1, HES1, CAMTA2, HMGN2, PPARGC1A, HMGN1, SMARCE1, CBX7, H3F3B, NCOA3, H3F3A, MBD2, KLF4, TBX3, NFKB1, NR4A1, ZEB2, FER, H1F0, CDK4, ID2, SMCR8, TCF3, TAF4, MIXL1, TSPYL4, ASF1A	895	525	29926	2.1654354881617452	0.03602764440133999	0.0039437853980648025	0.00380926868681298
