0 2087 2459 1246 1004 1723 3909 729 4514 3756 3895 2163 515 1511 1939 1608 887 755 784
-168 0 347 46 409 233 2344 287 3507 2399 2664 450 55 478 567 510 303 276 282
-135 -46 0 15 283 95 2035 195 3315 2135 2458 241 19 305 418 361 187 156 171
-177 -545 -1014 0 583 520 2891 329 3762 2886 3042 883 81 670 925 750 349 293 320
-248 -1702 -2117 -1005 0 1199 4287 541 5080 4254 4373 1903 215 778 1798 1499 549 465 498
-399 -1373 -1878 -670 -682 0 5319 786 6139 5192 5007 1797 16 972 2408 2024 697 562 616
-25 -206 -328 -124 -26 -55 0 6 2628 1194 1301 135 20 23 126 119 15 14 12
-229 -2156 -2700 -1173 -1076 -2237 -5819 0 6362 5633 5433 3534 304 1899 3318 2695 823 669 692
-6 -83 -122 -43 -12 -9 -144 -2 0 0 129 10 3 1 6 4 2 1 2
-42 -259 -385 -126 -47 -42 -1081 -34 -2655 0 885 54 5 3 149 92 7 8 9
-65 -436 -588 -272 -18 -161 -903 -86 -1832 -657 0 197 41 35 216 178 39 36 44
-313 -1133 -1571 -559 -516 -362 -4984 -586 -6018 -5055 -4791 0 1 580 1841 1516 445 367 396
-1521 -3249 -3839 -2095 -3206 -4113 -6737 -3617 -7181 -6776 -6587 -5707 0 4062 5440 4920 3391 3033 3179
-539 -1886 -2318 -1069 -827 -1616 -5307 -1101 -6166 -5493 -5348 -2689 -132 0 2496 2153 748 557 627
-249 -1386 -1797 -740 -728 -1329 -4857 -467 -5775 -4795 -4630 -2253 -85 -1054 0 310 461 353 388
-282 -1641 -2113 -857 -983 -1630 -5263 -694 -6099 -5151 -4968 -2821 -127 -1444 -1985 0 628 490 508
-555 -2358 -2936 -1329 -1595 -2744 -6466 -1607 -6969 -6365 -6067 -4688 -233 -2359 -4569 -3828 0 14 73
-689 -2557 -3137 -1479 -1902 -3067 -6622 -2062 -7083 -6529 -6220 -5016 -304 -2763 -4963 -4314 -796 0 304
-624 -2490 -3058 -1394 -1793 -2950 -6584 -1926 -7056 -6508 -6139 -4910 -290 -2580 -4903 -4144 -452 -62 0
